"","prestige_counsel.f","prestige_emulated.f","prestige_expertise.f","prestige_family.f","prestige_followers.expect.success.f","prestige_likable.f","prestige_respected.f","neel_better.mates.f","neel_big.family.f","neel_intelligence.f","neel_polygynous.f","vanvugt_coordinating.f","vanvugt_strategic.f","dom_aggression.f","dom_assert.autonomy.f","dom_avoid.dom.f","dom_fear.f","dom_fighting.f","dom_personality.f","dom_reputation.f","dom_strong.f"
"1","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"2","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"3","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"4","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"5","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"6","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"7","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"8","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"9","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
"10","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence"
