subsistence2,dom_total_for,dom_total_against,prest_total_for,prest_total_against,neel_total_for,neel_total_against,vvstrat_total_for,vvstrat_total_against,vvcoord_total_for,vvcoord_total_against,prest_for_prop,prest_against_prop,dom_for_prop,dom_against_prop,neel_for_prop,neel_against_prop,vvstrat_for_prop,vvstrat_against_prop,vvcoord_for_prop,vvcoord_against_prop
hunter gatherers,12,30,81,4,39,0,72,0,20,0,0.062211982,0.003072197,0.008064516,0.02016129,0.052419355,0,0.387096774,0,0.107526882,0
horticulturalists,81,19,110,14,68,0,114,0,42,0,0.035155002,0.004474273,0.022651007,0.005313199,0.03803199,0,0.255033557,0,0.093959732,0
agriculturalists,27,16,90,10,41,1,66,0,30,2,0.041879942,0.004653327,0.010993485,0.006514658,0.033387622,0.000814332,0.214983713,0,0.09771987,0.006514658
other,23,9,25,6,29,0,39,1,23,0,0.022747953,0.005459509,0.018312102,0.007165605,0.046178344,0,0.248407643,0.006369427,0.146496815,0
pastoralists,15,7,38,1,5,1,27,0,12,0,0.04679803,0.001231527,0.016163793,0.007543103,0.010775862,0,0.232758621,0,0.103448276,0
